7011	1	0.8863505839	0.0001394495
4246	2	0.8861758051	0.0000577673
3152	3	0.8862935240	0.0000750643
2891	4	0.8863758435	0.0001679519
2109	5	0.8861539096	0.0000824737
2477	6	0.8862335293	0.0000073675
1966	7	0.8862392598	0.0000138337
2590	8	0.8863663971	0.0001572928
2400	9	0.8863704154	0.0001618269
2252	10	0.8863453978	0.0001335976
1691	11	0.8862409118	0.0000156978
1901	12	0.8864376436	0.0002376858
2417	13	0.8862788144	0.0000584663
2359	14	0.8862660870	0.0000441050
2359	15	0.8863356176	0.0001225619
2247	16	0.8862763602	0.0000556971
2386	17	0.8862444695	0.0000197122
2569	18	0.8861701857	0.0000641081
2456	19	0.8865194354	0.0003299780
1868	20	0.8862749967	0.0000541585
1874	21	0.8862522656	0.0000285091
1998	22	0.8862978295	0.0000799225
1854	23	0.8863732244	0.0001649965
2451	24	0.8860446358	0.0002057760
1856	25	0.8863119028	0.0000958026
2249	26	0.8861520416	0.0000845815
2370	27	0.8862851677	0.0000656352
2340	28	0.8863163048	0.0001007697
2370	29	0.8863917851	0.0001859401
2357	30	0.8862358985	0.0000100409
1820	31	0.8862785930	0.0000582165
2358	32	0.8860454795	0.0002048239
2205	33	0.8861911011	0.0000405076
2486	34	0.8862880167	0.0000688500
2376	35	0.8863762959	0.0001684624
2193	36	0.8863151510	0.0000994677
2568	37	0.8863476984	0.0001361936
2237	38	0.8864765562	0.0002815940
1988	39	0.8861345514	0.0001043171
1941	40	0.8863232609	0.0001086187
2580	41	0.8862002799	0.0000301504
2447	42	0.8862036340	0.0000263658
1701	43	0.8863336712	0.0001203655
1691	44	0.8860610167	0.0001872921
2480	45	0.8862089349	0.0000203843
2248	46	0.8862497234	0.0000256406
2413	47	0.8864011978	0.0001965612
2003	48	0.8862473687	0.0000229836
2466	49	0.8862025404	0.0000275997
2382	50	0.8862806476	0.0000605348
2482	51	0.8863598467	0.0001499014
2350	52	0.8863255223	0.0001111705
2218	53	0.8862260846	0.0000010329
2478	54	0.8863651986	0.0001559404
2366	55	0.8860859921	0.0001591104
2215	56	0.8862914773	0.0000727549
2228	57	0.8861829555	0.0000496989
2220	58	0.8860618198	0.0001863859
2189	59	0.8861237465	0.0001165090
2551	60	0.8862826982	0.0000628487
2434	61	0.8861907633	0.0000408887
1806	62	0.8860882554	0.0001565565
2167	63	0.8860288908	0.0002235422
2482	64	0.8863613319	0.0001515773
2190	65	0.8863140593	0.0000982359
1835	66	0.8862282001	0.0000013541
2193	67	0.8862813342	0.0000613096
1847	68	0.8862330008	0.0000067711
2463	69	0.8865993664	0.0004201704
2416	70	0.8863741435	0.0001660337
