1.91	0.548725	-1.34783
1.92	0.535172	-1.36282
1.93	0.521468	-1.37799
1.94	0.507612	-1.39332
1.95	0.493601	-1.40882
1.96	0.479435	-1.4245
1.97	0.46511	-1.44035
1.98	0.450627	-1.45638
1.99	0.435982	-1.47258
2	0.421175	-1.48895
2.01	0.406203	-1.5055
2.02	0.391064	-1.52222
2.03	0.375758	-1.53911
2.04	0.360281	-1.55617
2.05	0.344634	-1.5734
2.06	0.328813	-1.59079
2.07	0.312817	-1.60835
2.08	0.296645	-1.62607
2.09	0.280296	-1.64394
2.1	0.263766	-1.66197
2.11	0.247056	-1.68014
2.12	0.230163	-1.69846
2.13	0.213086	-1.71691
2.14	0.195824	-1.7355
2.15	0.178376	-1.7542
2.16	0.16074	-1.77303
2.17	0.142915	-1.79196
2.18	0.1249	-1.81099
2.19	0.106695	-1.83011
2.2	0.0882978	-1.84931
2.21	0.0697085	-1.86857
2.22	0.0509262	-1.88789
2.23	0.0319506	-1.90724
2.24	0.0127813	-1.92663
2.25	-0.00658192	-1.94602
2.26	-0.0261391	-1.96541
2.27	-0.04589	-1.98477
2.28	-0.0658344	-2.00409
2.29	-0.0859717	-2.02336
2.3	-0.106301	-2.04254
2.31	-0.126822	-2.06161
2.32	-0.147533	-2.08056
2.33	-0.168433	-2.09936
2.34	-0.18952	-2.11798
2.35	-0.210792	-2.1364
2.36	-0.232247	-2.15458
2.37	-0.253882	-2.17251
2.38	-0.275696	-2.19015
2.39	-0.297684	-2.20746
2.4	-0.319844	-2.22442
2.41	-0.342171	-2.24099
2.42	-0.364662	-2.25713
2.43	-0.387313	-2.27282
2.44	-0.410117	-2.28801
2.45	-0.433071	-2.30267
2.46	-0.456169	-2.31675
2.47	-0.479404	-2.33023
2.48	-0.502771	-2.34305
2.49	-0.526263	-2.35517
2.5	-0.549872	-2.36657
2.51	-0.573591	-2.37718
2.52	-0.597413	-2.38698
2.53	-0.621328	-2.39592
2.54	-0.645328	-2.40396
2.55	-0.669404	-2.41106
2.56	-0.693546	-2.41717
2.57	-0.717744	-2.42226
2.58	-0.741988	-2.42629
2.59	-0.766267	-2.42922
2.6	-0.790569	-2.43101
2.61	-0.814883	-2.43163
2.62	-0.839197	-2.43104
2.63	-0.8635	-2.42922
2.64	-0.887777	-2.42612
2.65	-0.912018	-2.42173
2.66	-0.936208	-2.41602
2.67	-0.960334	-2.40897
2.68	-0.984382	-2.40056
2.69	-1.00834	-2.39076
2.7	-1.03219	-2.37958
2.71	-1.05593	-2.367
2.72	-1.07953	-2.35302
2.73	-1.10298	-2.33763
2.74	-1.12628	-2.32084
2.75	-1.1494	-2.30265
2.76	-1.17232	-2.28307
2.77	-1.19505	-2.26211
2.78	-1.21756	-2.2398
2.79	-1.23984	-2.21616
2.8	-1.26188	-2.1912
2.81	-1.28366	-2.16497
2.82	-1.30518	-2.13749
2.83	-1.32641	-2.10881
2.84	-1.34735	-2.07895
2.85	-1.36798	-2.04797
2.86	-1.3883	-2.01592
2.87	-1.4083	-1.98283
2.88	-1.42796	-1.94877
2.89	-1.44727	-1.91379
2.9	-1.46623	-1.87795
2.91	-1.48483	-1.8413
2.92	-1.50305	-1.80391
2.93	-1.5209	-1.76583
2.94	-1.53837	-1.72714
2.95	-1.55544	-1.68788
2.96	-1.57213	-1.64813
2.97	-1.58841	-1.60795
2.98	-1.60428	-1.56741
2.99	-1.61975	-1.52656
3	-1.63481	-1.48546
3.01	-1.64946	-1.44419
3.02	-1.6637	-1.40279
3.03	-1.67752	-1.36133
3.04	-1.69092	-1.31987
3.05	-1.70391	-1.27845
3.06	-1.71649	-1.23714
3.07	-1.72866	-1.19598
3.08	-1.74041	-1.15503
3.09	-1.75176	-1.11432
3.1	-1.7627	-1.0739
3.11	-1.77324	-1.03382
3.12	-1.78338	-0.994112
3.13	-1.79312	-0.954812
3.14	-1.80248	-0.915956
3.15	-1.81144	-0.877575
3.16	-1.82003	-0.839696
3.17	-1.82824	-0.802346
3.18	-1.83608	-0.765549
3.19	-1.84355	-0.729326
3.2	-1.85067	-0.693696
3.21	-1.85743	-0.658674
3.22	-1.86384	-0.624276
3.23	-1.86992	-0.590513
3.24	-1.87565	-0.557396
3.25	-1.88107	-0.524931
3.26	-1.88615	-0.493126
3.27	-1.89093	-0.461985
3.28	-1.8954	-0.43151
3.29	-1.89956	-0.401703
3.3	-1.90343	-0.372563
3.31	-1.90702	-0.344089
3.32	-1.91032	-0.316276
3.33	-1.91334	-0.289122
3.34	-1.9161	-0.262621
3.35	-1.9186	-0.236767
3.36	-1.92084	-0.211551
3.37	-1.92283	-0.186967
3.38	-1.92458	-0.163005
3.39	-1.92609	-0.139657
3.4	-1.92738	-0.116911
3.41	-1.92843	-0.094758
3.42	-1.92927	-0.0731861
3.43	-1.9299	-0.0521843
3.44	-1.93032	-0.0317406
3.45	-1.93054	-0.0118433
3.46	-1.93056	0.0075201
3.47	-1.93039	0.0263619
3.48	-1.93003	0.0446946
3.49	-1.92949	0.0625308
3.5	-1.92878	0.0798833
3.51	-1.9279	0.0967647
3.52	-1.92685	0.113188
3.53	-1.92564	0.129165
3.54	-1.92427	0.144709
3.55	-1.92274	0.159832
3.56	-1.92107	0.174547
3.57	-1.91925	0.188865
