6228	1	0.8861014927	0.0001416198
3758	2	0.8862276294	0.0000007102
3146	3	0.8861765954	0.0000568755
2495	4	0.8863234984	0.0001088868
2082	5	0.8860372927	0.0002140618
1950	6	0.8861136018	0.0001279561
1969	7	0.8861824978	0.0000502153
2436	8	0.8863771922	0.0001694738
1931	9	0.8862788771	0.0000585371
2533	10	0.8864449225	0.0002458992
2099	11	0.8862403067	0.0000150150
1930	12	0.8863472836	0.0001357255
1926	13	0.8861149761	0.0001264054
2211	14	0.8863670670	0.0001580487
2333	15	0.8864180251	0.0002155488
2196	16	0.8862863948	0.0000670199
2230	17	0.8862183081	0.0000098077
2360	18	0.8859620701	0.0002989414
2368	19	0.8861809769	0.0000519316
2205	20	0.8862455848	0.0000209707
1812	21	0.8861575236	0.0000783957
2370	22	0.8862023123	0.0000278571
2311	23	0.8862917680	0.0000730829
2329	24	0.8861964647	0.0000344554
2307	25	0.8862883130	0.0000691843
2158	26	0.8862504855	0.0000265006
2176	27	0.8861909816	0.0000406424
2381	28	0.8864495693	0.0002511426
2204	29	0.8862961953	0.0000780785
2484	30	0.8862080639	0.0000213671
2271	31	0.8863131527	0.0000972129
1836	32	0.8862114025	0.0000175998
1442	33	0.8862134982	0.0000152351
2262	34	0.8863629393	0.0001533911
2378	35	0.8861698972	0.0000644336
2231	36	0.8864051815	0.0002010563
1894	37	0.8860695316	0.0001776841
2309	38	0.8862736745	0.0000526665
2294	39	0.8863084529	0.0000919097
1909	40	0.8863983763	0.0001933775
2484	41	0.8863396383	0.0001270987
1824	42	0.8862239397	0.0000034532
2326	43	0.8863797267	0.0001723336
1725	44	0.8863216655	0.0001068185
2454	45	0.8863270119	0.0001128514
2193	46	0.8860930633	0.0001511313
2496	47	0.8860234617	0.0002296684
1733	48	0.8863122361	0.0000961786
2452	49	0.8861141736	0.0001273109
1848	50	0.8863823400	0.0001752824
1907	51	0.8860837465	0.0001616443
2376	52	0.8862655776	0.0000435302
1830	53	0.8863423419	0.0001301494
1915	54	0.8864431614	0.0002439120
1827	55	0.8863170008	0.0001015551
2554	56	0.8862013056	0.0000289930
2457	57	0.8863550784	0.0001445210
1725	58	0.8861694041	0.0000649900
1709	59	0.8859894393	0.0002680586
1819	60	0.8862638230	0.0000415503
2422	61	0.8861151823	0.0001261728
2333	62	0.8862032985	0.0000267443
2188	63	0.8860525304	0.0001968679
2452	64	0.8862046436	0.0000252265
1853	65	0.8861472109	0.0000900324
2468	66	0.8862222488	0.0000053612
2283	67	0.8864369573	0.0002369114
2343	68	0.8861186962	0.0001222078
2341	69	0.8861149481	0.0001264370
2344	70	0.8862979865	0.0000800997
