1	6500	10122	697927	22645
2	3250	18285	301129	12533
3	2167	8966	196773	15430
4	1625	9570	149630	19342
5	1300	9699	121192	10815
6	1084	8535	94869	23244
7	929	9113	82638	10821
8	813	9637	72933	23446
9	723	12321	72247	21432
10	650	12570	58667	24643
11	591	8648	54590	20194
12	542	8689	53803	21897
13	500	12581	45769	21003
14	465	9393	46023	20220
15	434	8877	40474	22141
16	407	13395	44623	15827
17	383	14233	45220	23077
18	362	10454	44231	21208
19	343	12153	44506	24029
20	325	10028	41763	14959
21	310	9573	40298	21884
22	296	12859	40739	21536
23	283	12160	35503	20927
24	271	10145	38158	17252
25	260	10595	41306	22832
26	250	12455	41549	22971
27	241	10210	40341	22898
28	233	13258	39560	22222
29	225	12613	38220	22153
30	217	13463	39042	21164
31	210	11503	39303	16055
32	204	12918	33139	21015
