0	3.667	0.00427	0	0
0.5	2.99247	-2.61389	0	0
1	1.30654	-3.91908	0	0
1.5	-0.634646	-3.60659	0	0
2	-2.08222	-2.00812	0	0
2.5	-2.56932	0.115619	0	0
3	-2.04525	1.91239	0	0
3.5	-0.838363	2.76445	0	0
4	0.515561	2.48462	0	0
4.5	1.49836	1.32751	0	0
5	1.79789	-0.163398	0	0
5.5	1.39538	-1.39449	0	0
6	0.533041	-1.94731	0	0
6.5	-0.410068	-1.70915	0	0
7	-1.0759	-0.873636	0	0
7.5	-1.25646	0.171637	0	0
8	-0.950243	1.01374	0	0
8.5	-0.335185	1.36984	0	0
9	0.320911	1.17392	0	0
9.5	0.770995	0.572036	0	0
10	0.876948	-0.159852	0	0
10.5	0.645847	-0.734875	0	0
11	0.207913	-0.962334	0	0
11.5	-0.247921	-0.80503	0	0
12	-0.551434	-0.372405	0	0
12.5	-0.61128	0.139393	0	0
13	-0.438057	0.531331	0	0
13.5	-0.126753	0.675163	0	0
14	0.189529	0.551158	0	0
14.5	0.393677	0.240841	0	0
15	0.425546	-0.11659	0	0
15.5	0.296474	-0.38323	0	0
16	0.0755343	-0.473068	0	0
16.5	-0.143627	-0.376707	0	0
17	-0.28056	-0.154557	0	0
17.5	-0.295861	0.0947454	0	0
18	-0.200187	0.27578	0	0
18.5	-0.0436218	0.331037	0	0
19	0.108036	0.257017	0	0
19.5	0.199609	0.0982831	0	0
20	0.205429	-0.0753781	0	0
20.5	0.134837	-0.198031	0	0
21	0.024055	-0.23135	0	0
21.5	-0.0807472	-0.175031	0	0
22	-0.141786	-0.0618126	0	0
22.5	-0.142449	0.059001	0	0
23	-0.0905783	0.141913	0	0
23.5	-0.0123056	0.161474	0	0
24	0.0600156	0.118965	0	0
24.5	0.100556	0.03835	0	0
25	0.0986454	-0.0455888	0	0
25.5	0.0606727	-0.101502	0	0
26	0.00544728	-0.112558	0	0
26.5	-0.044388	-0.0806928	0	0
27	-0.0712071	-0.0233862	0	0
27.5	-0.0682185	0.0348562	0	0
28	-0.0405141	0.0724659	0	0
28.5	-0.00160372	0.0783593	0	0
29	0.0326863	0.0546139	0	0
29.5	0.0503502	0.0139414	0	0
30	0.0471112	-0.0264172	0	0
30.5	0.026961	-0.0516451	0	0
31	-0.000416883	-0.0544804	0	0
31.5	-0.0239749	-0.0368779	0	0
32	-0.0355513	-0.00805545	0	0
32.5	-0.0324885	0.019873	0	0
33	-0.0178746	0.0367447	0	0
33.5	0.00136315	0.0378287	0	0
34	0.0175227	0.0248402	0	0
34.5	0.025067	0.00444565	0	0
35	0.022372	-0.0148544	0	0
35.5	0.0118012	-0.026101	0	0
36	-0.00169877	-0.0262318	0	0
36.5	-0.0127654	-0.0166874	0	0
37	-0.0176503	-0.00227733	0	0
37.5	-0.0153826	0.0110414	0	0
38	-0.00775525	0.0185114	0	0
38.5	0.00170593	0.0181657	0	0
39	0.00927202	0.0111783	0	0
39.5	0.0124112	0.00101106	0	0
40	0.0105606	-0.00816684	0	0
40.5	0.0050697	-0.0131089	0	0
41	-0.00155237	-0.0125628	0	0
41.5	-0.00671609	-0.00746461	0	0
42	-0.00871564	-0.000300922	0	0
42.5	-0.00723858	0.00601422	0	0
43	-0.00329431	0.0092694	0	0
43.5	0.00133463	0.00867595	0	0
44	0.0048523	0.00496775	0	0
44.5	0.00611242	-7.28296e-05	0	0
45	0.00495339	-0.00441157	0	0
45.5	0.00212588	-0.00654508	0	0
46	-0.00110566	-0.00598317	0	0
46.5	-0.00349737	-0.00329369	0	0
47	-0.00428116	0.000248254	0	0
47.5	-0.0033838	0.00322447	0	0
48	-0.0013608	0.00461497	0	0
48.5	0.000892291	0.00412017	0	0
