N;S1;S2;Delta
17332;10.33759;10.33756;2.622604e-06
17333;10.33764;10.33762;2.622604e-06
17334;10.3377;10.33768;2.622604e-06
17335;10.33776;10.33773;2.503395e-06
17336;10.33782;10.33779;2.503395e-06
17337;10.33787;10.33785;2.384186e-06
17338;10.33793;10.33791;2.384186e-06
17339;10.33799;10.33796;2.264977e-06
17340;10.33805;10.33802;2.264977e-06
17341;10.3381;10.33808;2.264977e-06
17342;10.33816;10.33814;2.264977e-06
17343;10.33822;10.33819;2.145767e-06
17344;10.33827;10.33825;2.145767e-06
17345;10.33833;10.33831;2.026558e-06
17346;10.33839;10.33837;2.026558e-06
17347;10.33845;10.33843;1.907349e-06
17348;10.3385;10.33848;1.907349e-06
17349;10.33856;10.33854;1.907349e-06
17350;10.33862;10.3386;1.788139e-06
17351;10.33867;10.33866;1.788139e-06
17352;10.33873;10.33871;1.788139e-06
17353;10.33879;10.33877;1.788139e-06
17354;10.33885;10.33883;1.788139e-06
17355;10.3389;10.33889;1.66893e-06
17356;10.33896;10.33894;1.66893e-06
17357;10.33902;10.339;1.549721e-06
17358;10.33908;10.33906;1.549721e-06
17359;10.33913;10.33912;1.430511e-06
17360;10.33919;10.33917;1.430511e-06
17361;10.33925;10.33923;1.430511e-06
17362;10.3393;10.33929;1.430511e-06
17363;10.33936;10.33935;1.430511e-06
17364;10.33942;10.33941;1.311302e-06
17365;10.33948;10.33946;1.311302e-06
17366;10.33953;10.33952;1.311302e-06
17367;10.33959;10.33958;1.192093e-06
17368;10.33965;10.33963;1.192093e-06
17369;10.3397;10.33969;1.192093e-06
17370;10.33976;10.33975;1.072884e-06
17371;10.33982;10.33981;1.072884e-06
17372;10.33988;10.33987;1.072884e-06
17373;10.33993;10.33992;1.072884e-06
17374;10.33999;10.33998;1.072884e-06
17375;10.34005;10.34004;9.536743e-07
17376;10.34011;10.3401;9.536743e-07
17377;10.34016;10.34015;9.536743e-07
17378;10.34022;10.34021;8.34465e-07
17379;10.34028;10.34027;8.34465e-07
17380;10.34033;10.34033;8.34465e-07
17381;10.34039;10.34038;7.152557e-07
17382;10.34045;10.34044;7.152557e-07
17383;10.34051;10.3405;7.152557e-07
17384;10.34056;10.34056;5.960464e-07
17385;10.34062;10.34061;5.960464e-07
17386;10.34068;10.34067;5.960464e-07
17387;10.34073;10.34073;5.960464e-07
17388;10.34079;10.34079;5.960464e-07
17389;10.34085;10.34084;5.960464e-07
17390;10.34091;10.3409;4.768372e-07
17391;10.34096;10.34096;4.768372e-07
17392;10.34102;10.34102;4.768372e-07
17393;10.34108;10.34107;3.576279e-07
17394;10.34114;10.34113;3.576279e-07
