N;S1;S2;Delta
1;1;1;0
2;1.5;1.5;0
3;1.833333;1.833333;0
4;2.083333;2.083333;0
5;2.283334;2.283333;1.192093e-07
6;2.45;2.45;1.192093e-07
7;2.592857;2.592857;1.192093e-07
8;2.717857;2.717857;1.192093e-07
9;2.828969;2.828968;1.192093e-07
10;2.928968;2.928968;0
11;3.019877;3.019877;0
12;3.103211;3.103211;5.960464e-08
13;3.180134;3.180134;0
14;3.251562;3.251562;0
15;3.318229;3.318229;5.960464e-08
16;3.380729;3.380729;5.960464e-08
17;3.439553;3.439553;0
18;3.495108;3.495108;0
19;3.54774;3.54774;0
20;3.59774;3.59774;0
21;3.645359;3.645359;0
22;3.690813;3.690813;0
23;3.734292;3.734292;0
24;3.775958;3.775958;0
25;3.815958;3.815958;0
26;3.85442;3.85442;5.960464e-08
27;3.891457;3.891457;0
28;3.927171;3.927171;1.192093e-07
29;3.961654;3.961654;0
30;3.994987;3.994987;0
31;4.027246;4.027246;0
32;4.058496;4.058496;0
33;4.088799;4.088799;0
34;4.11821;4.11821;1.192093e-07
35;4.146782;4.146781;1.192093e-07
36;4.17456;4.17456;0
37;4.201587;4.201586;1.192093e-07
38;4.227902;4.227902;0
39;4.253543;4.253543;1.192093e-07
40;4.278543;4.278543;0
41;4.302934;4.302934;0
42;4.326743;4.326743;0
43;4.349999;4.349999;0
44;4.372726;4.372726;0
45;4.394948;4.394948;0
46;4.416687;4.416687;0
47;4.437964;4.437964;1.192093e-07
48;4.458797;4.458797;0
49;4.479206;4.479206;0
50;4.499206;4.499206;0
51;4.518814;4.518814;0
52;4.538044;4.538044;0
53;4.556912;4.556912;0
54;4.575431;4.575431;0
55;4.593613;4.593613;0
56;4.61147;4.61147;0
57;4.629014;4.629014;1.192093e-07
58;4.646255;4.646255;0
59;4.663204;4.663204;0
60;4.679871;4.679871;1.192093e-07
61;4.696265;4.696264;1.192093e-07
62;4.712394;4.712393;1.192093e-07
63;4.728267;4.728266;1.192093e-07
64;4.743892;4.743891;1.192093e-07
65;4.759276;4.759276;1.192093e-07
66;4.774428;4.774427;1.192093e-07
67;4.789353;4.789352;2.384186e-07
68;4.804059;4.804059;1.192093e-07
69;4.818552;4.818551;2.384186e-07
70;4.832838;4.832837;1.192093e-07
71;4.846922;4.846921;1.192093e-07
72;4.860811;4.86081;1.192093e-07
73;4.874509;4.874509;1.192093e-07
74;4.888023;4.888022;1.192093e-07
75;4.901356;4.901356;1.192093e-07
76;4.914514;4.914514;1.192093e-07
77;4.927501;4.927501;1.192093e-07
78;4.940322;4.940321;2.384186e-07
79;4.95298;4.952979;2.384186e-07
80;4.96548;4.965479;2.384186e-07
81;4.977826;4.977825;1.192093e-07
82;4.990021;4.99002;2.384186e-07
83;5.002069;5.002069;1.192093e-07
84;5.013974;5.013973;1.192093e-07
85;5.025738;5.025738;1.192093e-07
86;5.037366;5.037365;1.192093e-07
87;5.04886;5.04886;1.192093e-07
88;5.060224;5.060224;0
89;5.07146;5.071459;1.192093e-07
90;5.082571;5.08257;2.384186e-07
91;5.09356;5.093559;2.384186e-07
92;5.10443;5.104429;2.384186e-07
93;5.115182;5.115181;2.384186e-07
94;5.125821;5.12582;2.384186e-07
95;5.136347;5.136346;2.384186e-07
96;5.146763;5.146763;1.192093e-07
97;5.157073;5.157072;1.192093e-07
98;5.167277;5.167276;1.192093e-07
99;5.177378;5.177377;1.192093e-07
100;5.187378;5.187377;2.384186e-07
101;5.197279;5.197278;2.384186e-07
102;5.207083;5.207082;2.384186e-07
103;5.216792;5.216791;1.192093e-07
104;5.226407;5.226406;2.384186e-07
105;5.235931;5.23593;2.384186e-07
106;5.245365;5.245364;1.192093e-07
107;5.254711;5.25471;2.384186e-07
108;5.26397;5.263969;2.384186e-07
109;5.273144;5.273143;2.384186e-07
110;5.282235;5.282234;2.384186e-07
111;5.291244;5.291244;1.192093e-07
112;5.300173;5.300172;2.384186e-07
113;5.309022;5.309021;2.384186e-07
114;5.317794;5.317793;2.384186e-07
115;5.32649;5.326489;2.384186e-07
116;5.335111;5.33511;1.192093e-07
117;5.343657;5.343657;1.192093e-07
118;5.352132;5.352131;1.192093e-07
119;5.360535;5.360535;1.192093e-07
120;5.368868;5.368868;1.192093e-07
121;5.377133;5.377132;1.192093e-07
122;5.38533;5.385329;1.192093e-07
123;5.39346;5.393459;1.192093e-07
124;5.401525;5.401524;1.192093e-07
125;5.409524;5.409524;1.192093e-07
126;5.417461;5.41746;1.192093e-07
127;5.425335;5.425334;1.192093e-07
128;5.433147;5.433146;1.192093e-07
129;5.440899;5.440899;1.192093e-07
130;5.448592;5.448591;1.192093e-07
131;5.456225;5.456224;1.192093e-07
132;5.463801;5.4638;1.192093e-07
133;5.47132;5.471319;1.192093e-07
134;5.478783;5.478782;1.192093e-07
135;5.48619;5.486189;1.192093e-07
136;5.493543;5.493542;1.192093e-07
137;5.500842;5.500842;1.192093e-07
138;5.508089;5.508088;1.192093e-07
139;5.515283;5.515282;1.192093e-07
140;5.522426;5.522425;1.192093e-07
141;5.529518;5.529517;1.192093e-07
142;5.53656;5.53656;1.192093e-07
143;5.543553;5.543552;1.192093e-07
144;5.550498;5.550497;1.192093e-07
145;5.557394;5.557394;1.192093e-07
146;5.564243;5.564243;1.192093e-07
147;5.571046;5.571046;0
148;5.577803;5.577803;0
149;5.584514;5.584514;0
150;5.591181;5.591181;0
151;5.597803;5.597803;0
152;5.604382;5.604382;0
153;5.610918;5.610918;0
154;5.617412;5.617412;0
155;5.623863;5.623863;0
156;5.630273;5.630273;0
157;5.636643;5.636643;0
158;5.642972;5.642972;0
159;5.649261;5.649261;0
160;5.655511;5.655511;0
161;5.661723;5.661723;0
162;5.667895;5.667895;0
163;5.67403;5.67403;0
164;5.680128;5.680128;0
165;5.686189;5.686189;0
166;5.692213;5.692213;0
167;5.698201;5.698201;0
168;5.704153;5.704153;0
169;5.71007;5.71007;0
170;5.715952;5.715952;0
171;5.7218;5.7218;0
172;5.727614;5.727614;0
173;5.733395;5.733395;5.960464e-08
174;5.739142;5.739142;0
175;5.744856;5.744856;0
176;5.750538;5.750538;0
177;5.756188;5.756188;0
178;5.761806;5.761806;0
179;5.767393;5.767393;0
180;5.772948;5.772948;0
181;5.778473;5.778473;0
182;5.783967;5.783967;0
183;5.789432;5.789432;0
184;5.794867;5.794867;1.192093e-07
185;5.800272;5.800272;1.192093e-07
186;5.805649;5.805648;1.192093e-07
187;5.810997;5.810996;1.192093e-07
188;5.816316;5.816315;1.192093e-07
189;5.821607;5.821606;1.192093e-07
190;5.82687;5.826869;1.192093e-07
191;5.832106;5.832105;1.192093e-07
192;5.837314;5.837313;1.192093e-07
193;5.842495;5.842494;1.192093e-07
194;5.84765;5.847649;1.192093e-07
195;5.852778;5.852777;1.192093e-07
196;5.857881;5.857879;2.384186e-07
197;5.862957;5.862956;1.192093e-07
198;5.868007;5.868006;1.192093e-07
199;5.873032;5.873031;1.192093e-07
200;5.878032;5.878031;1.192093e-07
201;5.883008;5.883007;1.192093e-07
202;5.887958;5.887957;1.192093e-07
203;5.892884;5.892883;2.384186e-07
204;5.897786;5.897785;1.192093e-07
205;5.902664;5.902663;2.384186e-07
206;5.907518;5.907517;1.192093e-07
207;5.912349;5.912348;1.192093e-07
208;5.917157;5.917156;1.192093e-07
209;5.921941;5.921941;1.192093e-07
210;5.926703;5.926703;0
211;5.931442;5.931442;1.192093e-07
212;5.936159;5.936159;0
213;5.940854;5.940854;1.192093e-07
214;5.945527;5.945527;1.192093e-07
215;5.950178;5.950178;1.192093e-07
216;5.954808;5.954808;0
217;5.959416;5.959416;0
218;5.964003;5.964003;0
219;5.968569;5.968569;0
220;5.973115;5.973114;1.192093e-07
221;5.97764;5.97764;0
222;5.982144;5.982144;1.192093e-07
223;5.986629;5.986629;0
224;5.991093;5.991093;0
225;5.995537;5.995537;0
226;5.999962;5.999962;5.960464e-08
227;6.004367;6.004367;0
228;6.008753;6.008753;0
229;6.01312;6.01312;0
230;6.017468;6.017468;0
231;6.021797;6.021797;1.192093e-07
232;6.026107;6.026107;0
233;6.030399;6.030399;1.192093e-07
234;6.034673;6.034672;1.192093e-07
235;6.038928;6.038928;1.192093e-07
236;6.043165;6.043165;1.192093e-07
237;6.047385;6.047385;0
238;6.051587;6.051586;1.192093e-07
239;6.055771;6.05577;1.192093e-07
240;6.059937;6.059937;1.192093e-07
241;6.064087;6.064086;1.192093e-07
242;6.068219;6.068219;1.192093e-07
243;6.072334;6.072334;1.192093e-07
244;6.076433;6.076432;1.192093e-07
245;6.080514;6.080513;1.192093e-07
246;6.084579;6.084579;1.192093e-07
247;6.088628;6.088627;1.192093e-07
248;6.09266;6.092659;1.192093e-07
249;6.096676;6.096675;1.192093e-07
250;6.100676;6.100676;1.192093e-07
251;6.10466;6.10466;1.192093e-07
252;6.108628;6.108628;1.192093e-07
253;6.112581;6.11258;1.192093e-07
254;6.116518;6.116518;1.192093e-07
255;6.12044;6.120439;1.192093e-07
256;6.124346;6.124345;1.192093e-07
257;6.128237;6.128236;1.192093e-07
258;6.132113;6.132113;0
259;6.135973;6.135973;0
260;6.13982;6.13982;0
261;6.143651;6.143651;0
262;6.147468;6.147468;0
263;6.15127;6.15127;0
264;6.155058;6.155057;1.192093e-07
265;6.158832;6.158831;1.192093e-07
266;6.162591;6.162591;1.192093e-07
267;6.166337;6.166336;1.192093e-07
268;6.170068;6.170067;1.192093e-07
269;6.173785;6.173785;1.192093e-07
270;6.177489;6.177488;1.192093e-07
271;6.181179;6.181179;1.192093e-07
272;6.184855;6.184855;1.192093e-07
273;6.188519;6.188518;1.192093e-07
274;6.192168;6.192168;1.192093e-07
275;6.195805;6.195804;1.192093e-07
276;6.199428;6.199427;1.192093e-07
277;6.203038;6.203037;1.192093e-07
278;6.206635;6.206635;1.192093e-07
279;6.210219;6.210218;1.192093e-07
280;6.213791;6.21379;1.192093e-07
281;6.21735;6.217349;1.192093e-07
282;6.220896;6.220895;1.192093e-07
283;6.224429;6.224428;1.192093e-07
284;6.22795;6.22795;1.192093e-07
285;6.231459;6.231458;1.192093e-07
286;6.234955;6.234955;1.192093e-07
287;6.23844;6.238439;1.192093e-07
288;6.241912;6.241911;1.192093e-07
289;6.245372;6.245371;1.192093e-07
290;6.248821;6.24882;1.192093e-07
291;6.252257;6.252256;1.192093e-07
292;6.255682;6.255681;1.192093e-07
293;6.259095;6.259094;2.384186e-07
294;6.262496;6.262495;2.384186e-07
295;6.265886;6.265885;2.384186e-07
296;6.269265;6.269263;2.384186e-07
297;6.272632;6.27263;2.384186e-07
298;6.275987;6.275986;1.192093e-07
299;6.279332;6.279331;1.192093e-07
300;6.282665;6.282664;1.192093e-07
301;6.285987;6.285986;2.384186e-07
302;6.289299;6.289298;1.192093e-07
303;6.292599;6.292598;1.192093e-07
304;6.295888;6.295887;2.384186e-07
305;6.299167;6.299166;2.384186e-07
306;6.302435;6.302434;1.192093e-07
307;6.305692;6.305691;1.192093e-07
308;6.308939;6.308938;1.192093e-07
309;6.312175;6.312174;2.384186e-07
310;6.315401;6.3154;2.384186e-07
311;6.318616;6.318615;2.384186e-07
312;6.321822;6.32182;2.384186e-07
313;6.325016;6.325015;2.384186e-07
314;6.328201;6.3282;2.384186e-07
315;6.331376;6.331374;3.576279e-07
316;6.334541;6.334539;3.576279e-07
317;6.337696;6.337694;3.576279e-07
318;6.34084;6.340838;3.576279e-07
319;6.343975;6.343973;3.576279e-07
320;6.3471;6.347098;3.576279e-07
321;6.350215;6.350214;3.576279e-07
322;6.353321;6.353319;3.576279e-07
323;6.356417;6.356415;3.576279e-07
324;6.359504;6.359501;3.576279e-07
325;6.362581;6.362578;3.576279e-07
326;6.365648;6.365646;3.576279e-07
327;6.368706;6.368704;3.576279e-07
328;6.371755;6.371753;3.576279e-07
329;6.374794;6.374792;3.576279e-07
330;6.377825;6.377822;3.576279e-07
331;6.380846;6.380844;3.576279e-07
332;6.383858;6.383856;3.576279e-07
333;6.386861;6.386859;3.576279e-07
334;6.389855;6.389853;3.576279e-07
335;6.39284;6.392838;3.576279e-07
336;6.395817;6.395814;4.768372e-07
337;6.398784;6.398781;4.768372e-07
338;6.401743;6.40174;4.768372e-07
339;6.404693;6.40469;4.768372e-07
340;6.407634;6.407631;4.768372e-07
341;6.410566;6.410563;4.768372e-07
342;6.41349;6.413487;4.768372e-07
343;6.416406;6.416403;4.768372e-07
344;6.419312;6.41931;3.576279e-07
345;6.422211;6.422209;3.576279e-07
346;6.425101;6.425099;3.576279e-07
347;6.427983;6.427981;3.576279e-07
348;6.430857;6.430854;3.576279e-07
349;6.433722;6.43372;3.576279e-07
350;6.436579;6.436577;3.576279e-07
351;6.439428;6.439425;4.768372e-07
352;6.442269;6.442266;4.768372e-07
353;6.445102;6.445099;4.768372e-07
354;6.447927;6.447924;4.768372e-07
355;6.450744;6.450741;3.576279e-07
356;6.453553;6.45355;3.576279e-07
357;6.456354;6.456351;3.576279e-07
358;6.459147;6.459145;3.576279e-07
359;6.461933;6.46193;3.576279e-07
360;6.46471;6.464708;3.576279e-07
361;6.46748;6.467478;3.576279e-07
362;6.470243;6.470241;2.384186e-07
363;6.472997;6.472995;2.384186e-07
364;6.475744;6.475742;2.384186e-07
365;6.478484;6.478482;2.384186e-07
366;6.481216;6.481215;2.384186e-07
367;6.483941;6.483939;2.384186e-07
368;6.486659;6.486657;2.384186e-07
369;6.489368;6.489367;2.384186e-07
370;6.492071;6.492069;2.384186e-07
371;6.494767;6.494765;2.384186e-07
372;6.497455;6.497453;3.576279e-07
373;6.500136;6.500134;3.576279e-07
374;6.50281;6.502808;2.384186e-07
375;6.505476;6.505474;2.384186e-07
376;6.508136;6.508134;2.384186e-07
377;6.510788;6.510786;3.576279e-07
378;6.513434;6.513432;3.576279e-07
379;6.516072;6.51607;2.384186e-07
380;6.518704;6.518702;2.384186e-07
381;6.521328;6.521327;2.384186e-07
382;6.523946;6.523944;2.384186e-07
383;6.526557;6.526556;2.384186e-07
384;6.529161;6.52916;2.384186e-07
385;6.531759;6.531757;2.384186e-07
386;6.534349;6.534348;2.384186e-07
387;6.536933;6.536932;2.384186e-07
388;6.539511;6.539509;2.384186e-07
389;6.542081;6.54208;2.384186e-07
390;6.544645;6.544644;2.384186e-07
391;6.547203;6.547202;2.384186e-07
392;6.549754;6.549753;2.384186e-07
393;6.552299;6.552297;2.384186e-07
394;6.554837;6.554835;2.384186e-07
395;6.557368;6.557367;2.384186e-07
396;6.559894;6.559892;2.384186e-07
397;6.562412;6.562411;2.384186e-07
398;6.564925;6.564923;2.384186e-07
399;6.567431;6.56743;2.384186e-07
400;6.569931;6.56993;2.384186e-07
401;6.572425;6.572423;2.384186e-07
402;6.574913;6.574911;2.384186e-07
403;6.577394;6.577392;2.384186e-07
404;6.579869;6.579867;2.384186e-07
405;6.582338;6.582336;2.384186e-07
406;6.584801;6.5848;2.384186e-07
407;6.587258;6.587256;2.384186e-07
408;6.589709;6.589708;2.384186e-07
409;6.592155;6.592153;2.384186e-07
410;6.594594;6.594592;2.384186e-07
411;6.597027;6.597024;3.576279e-07
412;6.599454;6.599452;3.576279e-07
413;6.601875;6.601873;3.576279e-07
414;6.604291;6.604289;3.576279e-07
415;6.6067;6.606698;3.576279e-07
416;6.609104;6.609102;3.576279e-07
417;6.611502;6.6115;3.576279e-07
418;6.613894;6.613892;3.576279e-07
419;6.616281;6.616279;2.384186e-07
420;6.618662;6.618659;3.576279e-07
421;6.621037;6.621035;2.384186e-07
422;6.623407;6.623405;2.384186e-07
423;6.625771;6.625769;2.384186e-07
424;6.628129;6.628128;2.384186e-07
425;6.630482;6.63048;2.384186e-07
426;6.63283;6.632828;2.384186e-07
427;6.635171;6.63517;2.384186e-07
428;6.637508;6.637506;2.384186e-07
429;6.639839;6.639837;2.384186e-07
430;6.642164;6.642163;2.384186e-07
431;6.644485;6.644483;2.384186e-07
432;6.6468;6.646798;2.384186e-07
433;6.649109;6.649107;2.384186e-07
434;6.651413;6.651412;2.384186e-07
435;6.653712;6.65371;2.384186e-07
436;6.656005;6.656004;2.384186e-07
437;6.658294;6.658292;2.384186e-07
438;6.660577;6.660575;2.384186e-07
439;6.662855;6.662853;2.384186e-07
440;6.665127;6.665126;1.192093e-07
441;6.667395;6.667394;1.192093e-07
442;6.669657;6.669656;1.192093e-07
443;6.671915;6.671914;1.192093e-07
444;6.674167;6.674166;1.192093e-07
445;6.676414;6.676413;1.192093e-07
446;6.678656;6.678655;1.192093e-07
447;6.680893;6.680892;1.192093e-07
448;6.683125;6.683124;2.384186e-07
449;6.685353;6.685352;1.192093e-07
450;6.687575;6.687574;1.192093e-07
451;6.689792;6.689791;1.192093e-07
452;6.692005;6.692004;1.192093e-07
453;6.694212;6.694211;1.192093e-07
454;6.696414;6.696414;1.192093e-07
455;6.698612;6.698612;1.192093e-07
456;6.700805;6.700804;1.192093e-07
457;6.702993;6.702993;1.192093e-07
458;6.705177;6.705176;1.192093e-07
459;6.707355;6.707355;1.192093e-07
460;6.709529;6.709528;1.192093e-07
461;6.711699;6.711698;1.192093e-07
462;6.713863;6.713862;1.192093e-07
463;6.716022;6.716022;1.192093e-07
464;6.718178;6.718177;1.192093e-07
465;6.720328;6.720328;1.192093e-07
466;6.722474;6.722474;1.192093e-07
467;6.724616;6.724615;1.192093e-07
468;6.726752;6.726752;1.192093e-07
469;6.728885;6.728884;1.192093e-07
470;6.731012;6.731011;1.192093e-07
471;6.733136;6.733135;1.192093e-07
472;6.735254;6.735253;1.192093e-07
473;6.737369;6.737368;1.192093e-07
474;6.739478;6.739477;1.192093e-07
475;6.741583;6.741582;1.192093e-07
476;6.743684;6.743683;1.192093e-07
477;6.745781;6.74578;2.384186e-07
478;6.747873;6.747872;1.192093e-07
479;6.74996;6.749959;1.192093e-07
480;6.752044;6.752043;1.192093e-07
481;6.754123;6.754122;1.192093e-07
482;6.756197;6.756196;1.192093e-07
483;6.758268;6.758267;1.192093e-07
484;6.760334;6.760333;1.192093e-07
485;6.762396;6.762395;1.192093e-07
486;6.764453;6.764452;1.192093e-07
487;6.766507;6.766506;1.192093e-07
488;6.768556;6.768555;1.192093e-07
489;6.770601;6.7706;1.192093e-07
490;6.772642;6.772641;1.192093e-07
491;6.774678;6.774677;1.192093e-07
492;6.776711;6.77671;1.192093e-07
493;6.778739;6.778738;1.192093e-07
494;6.780764;6.780763;1.192093e-07
495;6.782784;6.782783;2.384186e-07
496;6.7848;6.784799;2.384186e-07
497;6.786812;6.786811;2.384186e-07
498;6.78882;6.788819;2.384186e-07
499;6.790824;6.790823;2.384186e-07
500;6.792824;6.792823;2.384186e-07
501;6.79482;6.794819;2.384186e-07
502;6.796813;6.796811;2.384186e-07
503;6.7988;6.798799;2.384186e-07
504;6.800785;6.800783;2.384186e-07
505;6.802765;6.802763;2.384186e-07
506;6.804741;6.80474;2.384186e-07
507;6.806714;6.806712;2.384186e-07
508;6.808682;6.808681;2.384186e-07
509;6.810647;6.810645;2.384186e-07
510;6.812607;6.812606;2.384186e-07
511;6.814564;6.814563;2.384186e-07
512;6.816517;6.816516;2.384186e-07
513;6.818467;6.818465;2.384186e-07
514;6.820412;6.820411;2.384186e-07
515;6.822354;6.822352;2.384186e-07
516;6.824292;6.824291;1.192093e-07
517;6.826226;6.826225;1.192093e-07
518;6.828156;6.828156;1.192093e-07
519;6.830083;6.830082;1.192093e-07
520;6.832006;6.832006;1.192093e-07
521;6.833926;6.833925;1.192093e-07
522;6.835842;6.835841;1.192093e-07
523;6.837754;6.837753;1.192093e-07
524;6.839662;6.839661;1.192093e-07
525;6.841567;6.841566;2.384186e-07
526;6.843468;6.843467;2.384186e-07
527;6.845366;6.845365;1.192093e-07
528;6.84726;6.847259;1.192093e-07
529;6.84915;6.849149;1.192093e-07
530;6.851037;6.851036;1.192093e-07
531;6.85292;6.852919;1.192093e-07
532;6.854799;6.854799;1.192093e-07
533;6.856676;6.856675;1.192093e-07
534;6.858548;6.858547;1.192093e-07
535;6.860417;6.860416;1.192093e-07
536;6.862283;6.862282;1.192093e-07
537;6.864145;6.864145;1.192093e-07
538;6.866004;6.866004;1.192093e-07
539;6.867859;6.867858;1.192093e-07
540;6.869711;6.86971;1.192093e-07
541;6.87156;6.871559;1.192093e-07
542;6.873405;6.873404;1.192093e-07
543;6.875246;6.875246;1.192093e-07
544;6.877084;6.877084;1.192093e-07
545;6.878919;6.878919;1.192093e-07
546;6.880751;6.88075;1.192093e-07
547;6.882579;6.882578;1.192093e-07
548;6.884404;6.884403;1.192093e-07
549;6.886225;6.886224;1.192093e-07
550;6.888043;6.888043;1.192093e-07
551;6.889858;6.889858;1.192093e-07
552;6.89167;6.891669;1.192093e-07
553;6.893478;6.893477;1.192093e-07
554;6.895283;6.895283;0
555;6.897085;6.897084;1.192093e-07
556;6.898883;6.898883;1.192093e-07
557;6.900679;6.900678;1.192093e-07
558;6.902471;6.902471;0
559;6.90426;6.904259;1.192093e-07
560;6.906045;6.906045;1.192093e-07
561;6.907828;6.907827;1.192093e-07
562;6.909607;6.909607;1.192093e-07
563;6.911384;6.911383;1.192093e-07
564;6.913157;6.913156;1.192093e-07
565;6.914927;6.914926;1.192093e-07
566;6.916693;6.916693;1.192093e-07
567;6.918457;6.918457;1.192093e-07
568;6.920218;6.920217;1.192093e-07
569;6.921975;6.921975;1.192093e-07
570;6.923729;6.923729;1.192093e-07
571;6.925481;6.92548;1.192093e-07
572;6.927229;6.927228;1.192093e-07
573;6.928974;6.928974;1.192093e-07
574;6.930717;6.930716;1.192093e-07
575;6.932456;6.932455;1.192093e-07
576;6.934192;6.934191;1.192093e-07
577;6.935925;6.935924;1.192093e-07
578;6.937655;6.937654;1.192093e-07
579;6.939382;6.939381;1.192093e-07
580;6.941106;6.941105;1.192093e-07
581;6.942828;6.942826;2.384186e-07
582;6.944546;6.944545;1.192093e-07
583;6.946261;6.94626;1.192093e-07
584;6.947973;6.947972;1.192093e-07
585;6.949683;6.949682;1.192093e-07
586;6.951389;6.951388;1.192093e-07
587;6.953093;6.953092;2.384186e-07
588;6.954794;6.954792;2.384186e-07
589;6.956492;6.95649;2.384186e-07
590;6.958187;6.958185;2.384186e-07
591;6.959878;6.959877;2.384186e-07
592;6.961567;6.961566;2.384186e-07
593;6.963254;6.963253;2.384186e-07
594;6.964938;6.964936;2.384186e-07
595;6.966619;6.966617;2.384186e-07
596;6.968297;6.968295;2.384186e-07
597;6.969972;6.96997;2.384186e-07
598;6.971644;6.971642;2.384186e-07
599;6.973313;6.973311;2.384186e-07
600;6.97498;6.974978;2.384186e-07
601;6.976644;6.976642;2.384186e-07
602;6.978305;6.978303;2.384186e-07
603;6.979963;6.979961;2.384186e-07
604;6.981619;6.981617;2.384186e-07
605;6.983272;6.98327;2.384186e-07
606;6.984922;6.98492;2.384186e-07
607;6.986569;6.986567;2.384186e-07
608;6.988214;6.988213;2.384186e-07
609;6.989856;6.989854;2.384186e-07
610;6.991496;6.991494;2.384186e-07
611;6.993132;6.99313;2.384186e-07
612;6.994766;6.994764;2.384186e-07
613;6.996397;6.996396;2.384186e-07
614;6.998026;6.998024;2.384186e-07
615;6.999652;6.99965;2.384186e-07
616;7.001276;7.001274;2.384186e-07
617;7.002896;7.002895;2.384186e-07
618;7.004514;7.004513;2.384186e-07
619;7.00613;7.006128;2.384186e-07
620;7.007743;7.007741;2.384186e-07
621;7.009353;7.009352;2.384186e-07
622;7.010961;7.010959;2.384186e-07
623;7.012566;7.012564;2.384186e-07
624;7.014169;7.014167;2.384186e-07
625;7.015769;7.015767;2.384186e-07
626;7.017366;7.017364;2.384186e-07
627;7.018961;7.018959;2.384186e-07
628;7.020553;7.020552;2.384186e-07
629;7.022143;7.022141;2.384186e-07
630;7.02373;7.023728;2.384186e-07
631;7.025315;7.025313;2.384186e-07
632;7.026897;7.026896;2.384186e-07
633;7.028477;7.028476;2.384186e-07
634;7.030055;7.030053;2.384186e-07
635;7.03163;7.031628;2.384186e-07
636;7.033202;7.0332;2.384186e-07
637;7.034771;7.03477;2.384186e-07
638;7.036339;7.036337;2.384186e-07
639;7.037904;7.037902;2.384186e-07
640;7.039466;7.039464;2.384186e-07
641;7.041027;7.041025;2.384186e-07
642;7.042584;7.042583;2.384186e-07
643;7.04414;7.044137;3.576279e-07
644;7.045692;7.045691;2.384186e-07
645;7.047243;7.047241;2.384186e-07
646;7.04879;7.048789;2.384186e-07
647;7.050336;7.050334;2.384186e-07
648;7.051879;7.051877;2.384186e-07
649;7.05342;7.053418;2.384186e-07
650;7.054958;7.054956;2.384186e-07
651;7.056494;7.056493;1.192093e-07
652;7.058027;7.058027;1.192093e-07
653;7.059559;7.059558;1.192093e-07
654;7.061088;7.061087;1.192093e-07
655;7.062615;7.062614;1.192093e-07
656;7.064139;7.064138;1.192093e-07
657;7.065661;7.06566;1.192093e-07
658;7.067181;7.06718;1.192093e-07
659;7.068698;7.068697;1.192093e-07
660;7.070214;7.070213;1.192093e-07
661;7.071727;7.071725;2.384186e-07
662;7.073237;7.073236;2.384186e-07
663;7.074746;7.074744;2.384186e-07
664;7.076252;7.076251;1.192093e-07
665;7.077755;7.077754;1.192093e-07
666;7.079257;7.079256;2.384186e-07
667;7.080756;7.080755;1.192093e-07
668;7.082253;7.082252;1.192093e-07
669;7.083748;7.083746;2.384186e-07
670;7.08524;7.085239;2.384186e-07
671;7.08673;7.08673;1.192093e-07
672;7.088219;7.088218;1.192093e-07
673;7.089705;7.089704;1.192093e-07
674;7.091188;7.091187;1.192093e-07
675;7.09267;7.092669;2.384186e-07
676;7.094149;7.094148;1.192093e-07
677;7.095626;7.095625;2.384186e-07
678;7.097101;7.0971;2.384186e-07
679;7.098574;7.098573;2.384186e-07
680;7.100045;7.100043;2.384186e-07
681;7.101513;7.101511;2.384186e-07
682;7.10298;7.102978;2.384186e-07
683;7.104444;7.104442;2.384186e-07
684;7.105906;7.105904;2.384186e-07
685;7.107366;7.107364;3.576279e-07
686;7.108824;7.108821;3.576279e-07
687;7.11028;7.110277;3.576279e-07
688;7.111733;7.111731;3.576279e-07
689;7.113184;7.113182;3.576279e-07
690;7.114634;7.114632;2.384186e-07
691;7.116081;7.116078;3.576279e-07
692;7.117526;7.117524;3.576279e-07
693;7.118969;7.118967;3.576279e-07
694;7.12041;7.120408;3.576279e-07
695;7.121849;7.121846;3.576279e-07
696;7.123285;7.123283;2.384186e-07
697;7.12472;7.124718;3.576279e-07
698;7.126153;7.126151;3.576279e-07
699;7.127584;7.127581;3.576279e-07
700;7.129012;7.12901;3.576279e-07
701;7.130439;7.130436;3.576279e-07
702;7.131863;7.131861;3.576279e-07
703;7.133286;7.133283;3.576279e-07
704;7.134706;7.134704;3.576279e-07
705;7.136125;7.136122;3.576279e-07
706;7.137541;7.137538;3.576279e-07
707;7.138955;7.138953;2.384186e-07
708;7.140368;7.140366;2.384186e-07
709;7.141778;7.141776;2.384186e-07
710;7.143187;7.143184;3.576279e-07
711;7.144593;7.144591;3.576279e-07
712;7.145998;7.145995;3.576279e-07
713;7.1474;7.147398;2.384186e-07
714;7.1488;7.148798;2.384186e-07
715;7.150199;7.150197;2.384186e-07
716;7.151596;7.151594;2.384186e-07
717;7.15299;7.152988;2.384186e-07
718;7.154383;7.154381;2.384186e-07
719;7.155774;7.155772;3.576279e-07
720;7.157163;7.157161;3.576279e-07
721;7.15855;7.158548;3.576279e-07
722;7.159935;7.159933;3.576279e-07
723;7.161319;7.161316;3.576279e-07
724;7.1627;7.162697;3.576279e-07
725;7.16408;7.164076;4.768372e-07
726;7.165457;7.165454;4.768372e-07
727;7.166833;7.16683;4.768372e-07
728;7.168207;7.168203;4.768372e-07
729;7.169579;7.169575;4.768372e-07
730;7.170949;7.170945;4.768372e-07
731;7.172317;7.172313;4.768372e-07
