0	1e-05
0.01	1e-05
0.02	5.85785e-06
0.03	7.10714e-07
0.04	6.98489e-06
0.05	1.03658e-05
0.06	9.45306e-06
0.07	8.54031e-06
0.08	7.62756e-06
0.09	6.71481e-06
0.1	5.80206e-06
0.11	4.8893e-06
0.12	3.97655e-06
0.13	3.0638e-06
0.14	2.15105e-06
0.15	1.2383e-06
0.16	3.25545e-07
0.17	5.87207e-07
0.18	1.49996e-06
0.19	2.41271e-06
0.2	3.32546e-06
0.21	4.23821e-06
0.22	5.15097e-06
0.23	6.06372e-06
0.24	6.97647e-06
0.25	7.88922e-06
0.26	8.80197e-06
0.27	9.71472e-06
0.28	1.06275e-05
0.29	1.15402e-05
0.3	1.2453e-05
0.31	1.33657e-05
0.32	1.42785e-05
0.33	1.51912e-05
0.34	1.6104e-05
0.35	1.70167e-05
0.36	1.79295e-05
0.37	1.88422e-05
0.38	1.9755e-05
0.39	2.06677e-05
0.4	1.30196e-05
0.41	2.14586e-08
0.42	1.30536e-05
0.43	2.06788e-05
0.44	1.97385e-05
0.45	1.87982e-05
0.46	1.78579e-05
0.47	1.69175e-05
0.48	1.59772e-05
0.49	1.50369e-05
0.5	1.40966e-05
0.51	1.31563e-05
0.52	1.2216e-05
0.53	1.12757e-05
0.54	1.03354e-05
0.55	9.39506e-06
0.56	8.45475e-06
0.57	7.51444e-06
0.58	6.57413e-06
0.59	5.63382e-06
0.6	4.69351e-06
0.61	3.7532e-06
0.62	2.81289e-06
0.63	1.87258e-06
0.64	9.3227e-07
0.65	8.0407e-09
0.66	9.48351e-07
0.67	1.88866e-06
0.68	2.82897e-06
0.69	3.76928e-06
0.7	4.70959e-06
0.71	5.6499e-06
0.72	6.59021e-06
0.73	7.53052e-06
0.74	8.47083e-06
0.75	9.41115e-06
0.76	1.03515e-05
0.77	7.00404e-06
0.78	7.55437e-07
0.79	5.80607e-06
0.8	9.96262e-06
0.81	9.9925e-06
0.82	1.00224e-05
0.83	1.00523e-05
0.84	1.00821e-05
